id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
274581589,"Kệ Đựng Gia Vị Nhà Bếp 2 Tầng Chắc Chắn Việt Nhật , Kệ Nhà Bếp Đa Năng - Hàng Việt Nam",99000,5.0,1,Việt Nhật,,https://tiki.vn/ke-dung-gia-vi-nha-bep-2-tang-chac-chan-viet-nhat-ke-nha-bep-da-nang-hang-viet-nam-p274581589.html?spid=274594514,kệ nhà bếp,Dụng cụ nhà bếp,1,Việt Nhật,Phụ Kiện Store 76,Kệ nhà bếp,"Thương hiệu nhựa Việt Nhật đã không quá xa lạ với người Việt Nam .Việt Nhật Plastic là một trong những doanh nghiệp có bề dày lịch sử và tốc độ tăng trưởng mạnh trong ngành nhựa. Với phương châm ""..."
276614971,"Kệ để lò vi sóng, kệ nhà bếp 2 tầng đa năng, kệ đựng gia vị có móc treo ở các góc, tiết kiệm không gian 64x25x45cm - Hàng chính hãng",183000,5.0,1,Gro-Fa,,https://tiki.vn/ke-de-lo-vi-song-ke-nha-bep-2-tang-da-nang-ke-dung-gia-vi-co-moc-treo-o-cac-goc-tiet-kiem-khong-gian-64x25x45cm-hang-chinh-hang-p276614971.html?spid=275077257,kệ nhà bếp,Dụng cụ nhà bếp,1,Gro-Fa,Liên Minh 1974,Nhà Cửa - Đời Sống,"Kệ có 2 tầng chính, tầng dưới dùng để lò vi sóng, tầng trên là giá chắc chắn dùng để đồ dùng nhà bếp, lọ gia vị, bình nước, các đồ dùng gia dụng khác.- Có các móc treo ở các góc tiện lợi để treo khăn,..."
19515658,Kệ nhà bếp 4525,195000,4.5,2,SMLIFE,,https://tiki.vn/ke-nha-bep-4525-p19515658.html?spid=19515660,kệ nhà bếp,Dụng cụ nhà bếp,1,SMLIFE,SMLIFE,Kệ nhà bếp,"Căn phòng bếp là không gian ấm cúng và ngọt ngào nhất của một ngôi nhà và đồng thời chúng cũng thể hiện tính cách, cá tính của gia chủ. Những chiếc kệ nhà bếp treo tường..."
7830374,Kệ nhà bếp 4515 (set 2),275000,4.2,13,SMLIFE,,https://tiki.vn/ke-nha-bep-4515-set-2-p7830374.html?spid=7830378,kệ nhà bếp,Dụng cụ nhà bếp,1,SMLIFE,SMLIFE,Kệ nhà bếp,Nhà bếp luôn là một không gian sinh hoạt không thể thiếu trong nhà bạn. Để sắp xếp sao cho ngăn nắp và tiện lợi nhất với các vật dụng trong nh&agra...
54073746,Kệ nhà bếp đa năng Nachi,82300,4.8,4,Inochi,,https://tiki.vn/ke-da-nha-bep-da-nang-nachi-p54073746.html?spid=81290855,kệ nhà bếp,Dụng cụ nhà bếp,1,Inochi,Gia dụng tiện ích store,Kệ nhà bếp,"Kệ đa nhà bếp đa năng NachiCách lắp đặt và sử dụng kệ Nachi cao cấp  – Thiết kế hiện đại, dễ dàng tháo lắp.– Cấu tạo chắc chắn chịu lực tốt.– Sử dụng trong nhà bếp, phòng tắm….– Sản phẩm được sản..."
214497531,"Kệ gia vị,kệ nhà bếp HG FURNITURE",149000,5.0,13,HG FURNITURE HiG,,https://tiki.vn/ke-gia-vi-ke-nha-bep-hg-furniture-p214497531.html?spid=214497533,kệ nhà bếp,Dụng cụ nhà bếp,1,HG FURNITURE HiG,HG FURNITURE H i G,Kệ nhà bếp,"THÔNG TIN SẢN PHẨM- Kích thước phủ bì- Mẫu 3 tầng   Dài 42cm, Rộng tầng 1 và 2 là 24cm,tầng 3 là 18cm Cao 64cm.                               -  Mẫu 2 tầng   Dài 42cm, Rộng tầng 1 là 24cm, tầng 2 là..."
51267111,"Kệ nhà bếp,kệ nhà bếp thông minh,kệ để đồ nhà bếp,kệ bếp thông minh đa năng,giá để đồ nhà bếp, kệ lò vi sóng 159-2",1850000,4.8,25,9House,,https://tiki.vn/ke-nha-bep-ke-nha-bep-thong-minh-ke-de-do-nha-bep-ke-bep-thong-minh-da-nang-gia-de-do-nha-bep-ke-lo-vi-song-159-2-p51267111.html?spid=51267181,kệ nhà bếp,Dụng cụ nhà bếp,1,9House,9House vn,Kệ nhà bếp,"	Kệ tủ bếp 159-2 có thể để được vừa lò vi sóng vừa nồi cơm điện và rất nhiều vật dụng khác trong gian bếp. LÝ DO NÊN MUA SẢN PHẨM TẠI 9house1/ Sử dụng vật liệu tốt, chất lượng caoKệ tủ bế..."
73167602,Kệ gỗ đựng gia vị nhà bếp hiện đại SMLIFE Knerr,1220000,5.0,1,SMLIFE,,https://tiki.vn/ke-go-nha-bep-hien-dai-smlife-knerr-go-mdf-day-17mm-chong-am-d80xr15xc80cm-p73167602.html?spid=73167608,kệ nhà bếp,Dụng cụ nhà bếp,1,SMLIFE,SMLIFE,Kệ nhà bếp,"Kệ gỗ nhà bếp hiện đại SMLIFE Knerr được thiết kế với phong cách đơn giản phù hợp với những căn bếp nhỏ, nhà trọ, phòng ngủ studio. Kệ nhà bếp Knerr mang đến nhiều không gian giúp bạn tổ chức gọn gàng..."
200624847,Kệ Nhà Bếp Kệ Để Lò Vi Sóng Thương Hiệu IGA - GM05,252000,4.5,33,IGA,,https://tiki.vn/ke-nha-bep-bobu-hien-dai-sap-xep-phong-bep-gon-gang-gm05-p200624847.html?spid=247757248,kệ nhà bếp,Dụng cụ nhà bếp,1,IGA,IGA Nội Thất Thông Minh,Nhà Cửa - Đời Sống,"THÔNG TIN SẢN PHẨMKích thước: 3 Tầng (50x30x64) 4 Tầng (50x30x99cm) 5 Tầng (50x30x127cm)Chất liệu: Khung thép không ghỉ sơn tĩnh điện, gỗ MDF phủ melaminCông năng: Sắp xếp không gian bếp gọn gàng ng..."
48519235,Kệ Lò Vi Sóng Kệ Nhà Bếp Thông Minh Thương Hiệu IGEA,422000,4.5,34,IGA,,https://tiki.vn/ke-lo-vi-song-ke-nha-bep-thong-minh-thuong-hieu-igea-p48519235.html?spid=48519237,kệ nhà bếp,Dụng cụ nhà bếp,1,IGA,IGA Nội Thất Thông Minh,Nhà Cửa - Đời Sống,Bạn đang loay hoay và bực bội vì không gian bếp quá bừa bộn mà không có cách nào để sắp xếp.Bạn đang cần tìm kệ lò vi sóng kết hợp với tủ đồ mà chưa tìm được sản phẩm ưng ý.Bạn đang cần tìm sản phẩ...
