id,name,price,rating,review_count,brand,seller,url,kw,group,page,brand_detail,seller_detail,categories,short_description
168673717,"Mâm bồng, đĩa ngủ quả để bàn thờ tổ tiên sứ men xanh Bát Tràng đẹp và sang trọng, kích thước từ 16-30cm",30000,0.0,0,Bát Tràng,,https://tiki.vn/mam-bong-dia-ngu-qua-de-ban-tho-to-tien-su-men-xanh-bat-trang-dep-va-sang-trong-kich-thuoc-tu-16-30cm-p168673717.html?spid=168673721,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,Bát Tràng,Ngôi Nhà Xanh Green House,Nhà Cửa - Đời Sống,"       Mâm bồng, đĩa ngủ quả để bàn thờ tổ tiên sứ men xanh Bát Tràng đẹp và sang trọng, kích thước từ 16-18-26-28-30cm đa dạng về kicchs thước cho khách tha hồ chọn.   Trên bàn thờ, ngoài những ..."
91276314,Mâm bồng men rạn nổi,490000,0.0,0,Bát Tràng,,https://tiki.vn/mam-bong-men-ran-noi-p91276314.html?spid=175647235,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,Bát Tràng,Cửa hàng gốm sứ Bát Tràng,Mâm đồng/Mâm ngũ quả,"       *)) Thông tin sản phẩm: (có kèm chân đế)   - Chất liệu: Sứ cao cấp   - Màu sắc: Men rạn cổ   - Kích thước: phi 20, 22,24,26,28,30,32,34,36,38cm   Mâm Bồng Thờ là món vật phẩm thờ cúng c..."
66655242,Mâm Xoay Hình Lá EUROGOLD (M0202L/R) - Hàng chính hãng,6490000,0.0,0,EuroGold,,https://tiki.vn/mam-xoay-hinh-la-eurogold-m0202l-r-hang-chinh-hang-p66655242.html?spid=66655243,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,EuroGold,AHA BẾP,Nhà Cửa - Đời Sống,"Thiết kế thông minh, độc đáo với hình lá vừa gọn, vừa tiết kiệm diện tích nên dễ tận dụng những góc tủ hẹp.2 tầng để đồ được tối ưu hiệu quả vừa chiếm ít diện tích nhưng đồng thời có thể để được nhi..."
13724475,Combo 2 mâm nhựa loại trung cao cấp Prota,54000,4.5,10,Prota,,https://tiki.vn/combo-2-mam-nhua-loai-trung-cao-cap-prota-p13724475.html?spid=13724476,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,Prota,Tín An,Khay - Mâm," Sản phẩm: Mâm nhựa cao cấp Prota CÁC ĐIỂM NỔI BẬT Kiểu dáng thanh lịch, sang trọng, chắc chắn, độ dày thành là 3.5mm là dày nhất trên thị trường. Được làm từ nhựa ABS cao cấp, nguyên sinh 100%, đả..."
105627854,ĐỒNG HỒ MÂM MẶT TRỐNG ĐỒNG NGỌC LŨ ( ĐỒNG VÀNG NGUYÊN CHẤT),1680000,0.0,0,Gallery Minh Quân,,https://tiki.vn/dong-ho-mam-mat-trong-dong-ngoc-lu-dong-vang-nguyen-chat-p105627854.html?spid=105627856,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,Gallery Minh Quân,gallery Minh Quân,Đồng hồ treo tường,"Đồng hồ mâm mặt trống đồng đông sơnChất liệu đồng vàng nguyên chất 100% tạo hoa văn bằng công nghệ hóa chất ăn mòn rất tinh xảo.Khung tranh viền vàng composite chống mối mọt, mặt tranh lồng kính hoặc ..."
191811673,Mâm Xôi Đỏ Aro Đông Lạnh 1kg,299000,5.0,1,ARO,,https://tiki.vn/mam-xoi-do-aro-dong-lanh-1kg-p191811673.html?spid=191811679&i=262656,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,ARO,Maxzi HCM,Trái Cây Nhập Khẩu,Khối lượng: 1 Kg/túi Hạn sử dụng: 24 tháng kể từ ngày sản xuất Nhiệt độ bảo quản: Đông lạnh -18°C hoặc thấp hơn Xuất xứ: Hà Lan Hướng dẫn sử dụng: Chiên hoặc nướng trước khi dùng...
178471566,Đèn mâm phale DT,8520000,0.0,0,HH HA HIEP LIGHTING,,https://tiki.vn/den-mam-phale-dt-p178471566.html?spid=178471571,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Root,"       DT LUXURY   Chất liệu: mâm là inox không dỉ bh 10 năm,kết phù hợp với phale chuẩn k9   Mầu sắc:trắng   Số lượng : 01c   Nguồn điện: 220v   Kích thước: 600 x 800mm   Phong cách: châu â..."
178479610,Đèn mâm phale DT,6520000,0.0,0,HH HA HIEP LIGHTING,,https://tiki.vn/den-mam-phale-dt-p178479610.html?spid=178479613,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Root,"       DT LUXURY   Chất liệu: đế thực hành inox 304 Bảo hành 10 năm ,hạt là phale chuẩn k9   Mầu sắc:trắng   Số lượng :01c   Nguồn điện: 220v   Kích thước: fi 650 x 650mm,h 580mm   Phong các..."
178477632,"Mâm mika hoa,đèn mâm áp trần,đèn trang trí DT",2820000,0.0,0,HH HA HIEP LIGHTING,,https://tiki.vn/mam-mika-hoa-den-mam-ap-tran-den-trang-tri-dt-p178477632.html?spid=178477636,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,HH HA HIEP LIGHTING,ĐÈN TRANG TRÍ HÀ HIỆP,Đèn ốp trần,"       DT LUXURY   Chất liệu: Đế bằng sắt sơn tĩnh điện,khu sắt phối hợp với nhựa mika trắng .đèn và được tụ hợp led 3 cơ chế mầu ánh sáng: vàng,trắng và trung tính.đèn mâm có chỉ đạo từ xa.hàng ..."
192812848,Mâm Xôi Đen Aro Đông Lạnh 1kg,179000,0.0,0,ARO,,https://tiki.vn/mam-xoi-den-aro-dong-lanh-1kg-p192812848.html?spid=192812849&i=262656,"mâm đồng, mâm ngũ quả",Đồ thờ cúng,1,ARO,Maxzi HCM,Trái Cây Nhập Khẩu,Khối lượng: 1 Kg/túi Hạn sử dụng: 24 tháng kể từ ngày sản xuất Nhiệt độ bảo quản: Đông lạnh -18°C hoặc thấp hơn Xuất xứ: Hà Lan Hướng dẫn sử dụng: Chiên hoặc nướng trước khi dùng...
